Date,Confirmed,Recovered,Deaths
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,0,0,0
2020/1/30,0,0,0
2020/1/31,2,0,0
2020/2/1,2,0,0
2020/2/2,2,0,0
2020/2/3,8,0,0
2020/2/4,8,0,0
2020/2/5,9,0,0
2020/2/6,9,0,0
2020/2/7,9,0,0
2020/2/8,13,0,0
2020/2/9,14,0,0
2020/2/10,14,0,0
2020/2/11,15,0,0
2020/2/12,16,1,0
2020/2/13,17,1,0
2020/2/14,18,1,0
2020/2/15,18,1,0
2020/2/16,18,8,0
2020/2/17,19,8,0
2020/2/18,19,8,0
2020/2/19,20,8,0
2020/2/20,22,8,0
2020/2/21,23,8,0
2020/2/22,23,8,0
2020/2/23,28,8,0
2020/2/24,30,8,0
2020/2/25,34,8,0
2020/2/26,37,8,0
2020/2/27,44,8,0
2020/2/28,56,8,0
2020/2/29,61,8,0
2020/3/1,94,8,0
2020/3/2,134,8,0
2020/3/3,189,8,0
2020/3/4,245,8,0
2020/3/5,294,8,0
2020/3/6,373,8,1
2020/3/7,428,18,2
2020/3/8,482,18,2
2020/3/9,629,18,3
2020/3/10,887,18,7
2020/3/11,1298,18,7
2020/3/12,1787,18,9
2020/3/13,2266,18,10
2020/3/14,2630,18,29
2020/3/15,3072,18,43
2020/3/16,3684,20,65
2020/3/17,4452,52,82
2020/3/18,5451,65,116
2020/3/19,6506,65,162
2020/3/20,7760,65,194
2020/3/21,8957,65,252
2020/3/22,10333,65,288
2020/3/23,12668,65,364
2020/3/24,15039,135,512
2020/3/25,17732,135,703
2020/3/26,20816,135,884
2020/3/27,24017,135,1172
2020/3/28,26839,135,1464
2020/3/29,29696,135,1676
2020/3/30,33969,135,2050
2020/3/31,38484,135,2453
2020/4/1,43398,135,3125
2020/4/2,48263,135,3782
2020/4/3,53178,135,4518
2020/4/4,57198,135,5274
2020/4/5,60792,135,5873
2020/4/6,66067,135,6440
2020/4/7,71517,135,7545
2020/4/8,76646,135,8575
2020/4/9,81498,135,9691
2020/4/10,85813,344,10813
2020/4/11,89390,344,11656
2020/4/12,92885,344,12313
2020/4/13,97068,0,13037
2020/4/14,101393,0,14113
2020/4/15,106458,0,14993
2020/4/16,111756,0,16029
2020/4/17,116721,0,16942
2020/4/18,121437,0,18047
2020/4/19,125289,0,18479
2020/4/20,130147,0,19049
2020/4/21,134907,0,20273
2020/4/22,140397,0,21120
2020/4/23,145540,0,21802
2020/4/24,150513,0,22812
2020/4/25,154261,0,23627
2020/4/26,157729,0,23991
2020/4/27,162431,0,24311
2020/4/28,167152,0,25280
2020/4/29,172587,0,26049
2020/4/30,177543,0,26683
2020/5/1,182270,0,27381
2020/5/2,185491,0,27965
2020/5/3,188465,0,28218
2020/5/4,191843,0,28490
2020/5/5,195527,0,29216
2020/5/6,199358,0,29863
2020/5/7,203125,0,30321
2020/5/8,206174,0,30900
2020/5/9,208324,0,31175
2020/5/10,210645,0,31392
2020/5/11,214228,0,31579
2020/5/12,217617,0,32193
2020/5/13,220915,0,32640
2020/5/14,223524,0,32992
2020/5/15,226041,0,33342
2020/5/16,228106,0,33753
2020/5/17,229932,0,33820
2020/5/18,232506,0,33966
2020/5/19,235547,0,34466
2020/5/20,238253,0,34794
2020/5/21,240795,0,35067
2020/5/22,242825,0,35358
2020/5/23,244332,0,35578
2020/5/24,245680,0,35957
2020/5/25,247287,0,36061
2020/5/26,248937,0,36192
2020/5/27,250739,0,36614
2020/5/28,252473,0,36957
2020/5/29,253977,0,37231
2020/5/30,255076,0,37385
2020/5/31,256145,0,37445
2020/6/1,257579,0,37531
2020/6/2,259046,0,37780
2020/6/3,260388,0,38034
2020/6/4,261622,0,38164
2020/6/5,262727,0,38422
2020/6/6,263518,0,38565
2020/6/7,264235,0,38619
2020/6/8,265321,0,38666
2020/6/9,266474,0,38861
2020/6/10,267656,0,39025
2020/6/11,268657,0,39101
2020/6/12,269710,0,39232
2020/6/13,270597,0,39339
2020/6/14,271404,0,39366
2020/6/15,272430,0,39395
2020/6/16,273507,0,39515
2020/6/17,274504,0,39625
2020/6/18,275524,0,39692
2020/6/19,276504,0,39776
2020/6/20,277170,0,39847
2020/6/21,277792,0,39878
2020/6/22,278684,0,39892
2020/6/23,279566,0,39986
2020/6/24,280340,0,40073
2020/6/25,281037,0,40172
2020/6/26,281675,0,40249
2020/6/27,282308,0,40289
2020/6/28,282703,0,40320
2020/6/29,283307,0,40341
2020/6/30,283710,0,40394
2020/7/1,283770,0,40491
2020/7/2,283774,0,40532
2020/7/3,284276,0,40581
2020/7/4,284900,0,40613
2020/7/5,285416,0,40632
2020/7/6,285768,0,40643
2020/7/7,286349,0,40697
2020/7/8,286979,0,40754
2020/7/9,287621,0,40785
2020/7/10,288133,0,40819
2020/7/11,288953,0,40836
2020/7/12,289603,0,40845
2020/7/13,290133,0,40855
2020/7/14,291373,0,40899
2020/7/15,291911,0,40925
2020/7/16,292552,0,40949
2020/7/17,293239,0,40975
2020/7/18,294066,0,40984
2020/7/19,294792,0,40995
2020/7/20,295372,0,41005
2020/7/21,295817,0,41030
2020/7/22,296377,0,41047
2020/7/23,297146,0,41056
2020/7/24,297914,0,41088
2020/7/25,298681,0,41103
2020/7/26,299426,0,41111
2020/7/27,300111,0,41114
2020/7/28,300658,0,41135
2020/7/29,301455,0,41169
2020/7/30,302301,0,41169
2020/7/31,303181,0,41189
2020/8/1,303942,0,41202
2020/8/2,304685,0,41207
2020/8/3,305623,0,41208
2020/8/4,306293,0,41226
2020/8/5,307184,0,41240
2020/8/6,308134,0,41258
2020/8/7,309005,0,41270
2020/8/8,309763,0,41273
2020/8/9,310825,0,41278
2020/8/10,311641,0,41296
2020/8/11,312789,0,41309
2020/8/12,313798,0,41329
2020/8/13,314927,0,41347
2020/8/14,316367,0,41358
2020/8/15,317379,0,41361
2020/8/16,318484,0,41366
2020/8/17,319197,0,41369
2020/8/18,320286,0,41381
2020/8/19,321098,0,41397
2020/8/20,322280,0,41403
2020/8/21,323313,0,41405
2020/8/22,324601,0,41423
2020/8/23,325642,0,41429
2020/8/24,326614,0,41433
2020/8/25,327798,0,41449
2020/8/26,328846,0,41465
2020/8/27,330368,0,41477
2020/8/28,331644,0,41486
2020/8/29,332752,0,41498
2020/8/30,334467,0,41499
2020/8/31,335873,0,41501
2020/9/1,337168,0,41504
2020/9/2,338676,0,41514
2020/9/3,340411,0,41527
2020/9/4,342351,0,41537
2020/9/5,344164,0,41549
2020/9/6,347152,0,41551
2020/9/7,350100,0,41554
2020/9/8,352560,0,41586
2020/9/9,355219,0,41594
2020/9/10,358138,0,41608
2020/9/11,361677,0,41614
2020/9/12,365174,0,41623
2020/9/13,368504,0,41628
2020/9/14,371125,0,41637
2020/9/15,374228,0,41664
2020/9/16,378219,0,41684
2020/9/17,381614,0,41705
2020/9/18,385936,0,41732
2020/9/19,390358,0,41759
2020/9/20,394257,0,41777
2020/9/21,398625,0,41788
2020/9/22,403551,0,41825
2020/9/23,409729,0,41862
2020/9/24,416363,0,41902
2020/9/25,423236,0,41936
2020/9/26,429277,0,41971
2020/9/27,434969,0,41988
2020/9/28,439013,0,42001
2020/9/29,446156,0,42072
2020/9/30,453264,0,42143
2020/10/1,460178,0,42202
2020/10/2,467146,0,42268
2020/10/3,480017,0,42317
2020/10/4,502978,0,42350
2020/10/5,515571,0,42369
2020/10/6,530113,0,42445
2020/10/7,544275,0,42515
2020/10/8,561815,0,42592
2020/10/9,575679,0,42679
2020/10/10,590844,0,42760
